file,sha256,approved,text,note
accepted/src_04_11.94-16.76.wav,a0637b1fcd4a16891e79a4e91a5737510a2bc9494d7bae619903968562dadd04,,确实很像，你是不是饿了？,视觉复核：画面支持目标角色；需听音核对台词和残留；音频未听验
accepted/src_05_3.54-7.70.wav,a4abb91834a542c43d1fa4e338ef9b6f016ad7cc722d5bf2d896a03802d48c34,,小七，你给我做的。怎么跟没血染一样啊？,视觉复核：画面支持目标角色；字幕与转写有出入，需听音；音频未听验
accepted/src_07_8.12-15.14.wav,366dc4e2c4f7ec202e22edf234ae5cbd9fba3a4d0023bcb3961c0b70443db212,,我还会变身呢。嗯。可恶，你居然都会。,视觉复核：片段前约 3.2s 缺画面，需听音及补视觉；音频未听验
accepted/src_10_31.84-39.66.wav,8af206279f59949464ee36011d9450b3d661f62b77422ecff247131e82f73e7a,no,啊呜呜呜呜呜小宝，你对我真好，那是他点的。那也不点多点啊。,视觉复核：跨角色对白，整段不适合作为单一说话人样本；音频未听验
accepted/src_13_28.38-32.96.wav,c9d0bbef1e3e6b0cc6d9d9ee6e439840fea1813126429ebd5f7fb8311d4f03cb,,是我去，不是你去。,视觉复核：画面支持目标角色；当前转写“是我去”有误，需听音校准；音频未听验
accepted/src_16_2.14-6.18.wav,a01df8bcb1d8036bb77c2dfbe6835382a91ac3973ef772237ffd2a3b596b8cbb,no,快乐这个。Surprise.,视觉复核：片段跨小七和奶龙发言；音频未听验
accepted/src_16_29.36-35.32.wav,fc9a46f0ca6f90c39430b744934ef61f1b458194f6eea83f360305dcbdb8b623,no,还好我位于臭猫，打开你的手机。在我们的家庭分组里就能看哦。,视觉复核：片段跨奶龙和小七发言；音频未听验
accepted/src_17_2.16-5.42.wav,b0977cdab4f1d85b3c2633d1d6adf73fad73efd5a921f679810a7db550c1b91a,,蜗牛好久没见了，是不是要庆祝一下？,视觉复核：画面支持目标角色；需听音；音频未听验
accepted/src_17_8.26-14.92.wav,24b0e7b3d904386eb136bb137aa1c79edef18506105837d3a23ff86c5550a8fb,no,什么你到村长了。赶紧庆祝一下，你有本事天天可以当村长啊。,视觉复核：片段跨蜗牛和奶龙发言；音频未听验
accepted/src_18_22.10-26.36.wav,58a92a69eb1ad403b53e30a1d0a0ad1b96b98acbc69cfcdc96646f3acc444cb8,,小区。这妙脆角看起来好好吃哦，吃不了。,视觉复核：无法凭画面确认全段仅奶龙发言，需听音；音频未听验
accepted/src_18_46.12-50.22.wav,576b16fec4be406aa9e34707bec76e40edce17ea27dacd02557d8cc6731a0800,,那有你没事吗？哎呀呀别碰。呃，对了。,视觉复核：需听音核实发言归属和叠加声音；音频未听验
accepted/src_19_10.58-14.64.wav,28b66e8dc7468e19f236166c44e19e7eb080d75ac63c4e721102356fefcbe036,,我有办法，我反方向旋转，拧断他的头就好了。,视觉复核：画面支持目标角色；需听音；音频未听验
accepted/src_23_36.70-39.72.wav,e2eb35369e11f86cdf61530bd7987f3907559b841496f92facfa66ee77678869,,小，没事没事，我先走了。咿呀。,视觉复核：目标角色可见，但变装片段音色和音效需听音；音频未听验
accepted/src_24_17.02-22.32.wav,c824c0d7933282eb3fde579ada9a8e8ac8055fb9a5c14738a09d46828bf2be77,,谁死了，我出来了，不色龙了，我出来了。,视觉复核：需听音判定片段是否含其他角色回应；音频未听验
accepted/src_27_11.16-15.30.wav,3f6b0e621c7ed183bd798d629e5a71fde8fa19c7f5c7661a895cacd5da0bf04d,,我有办法，那我没主题步，不咬一口就好了。,视觉复核：画面支持目标角色；当前转写有误，需听音校准；音频未听验
accepted/src_28_25.18-29.14.wav,f491fd058aab8fcd73329f2d550a683a24b062c5510f0ef224ff057c0afb5e68,no,你做的饭呃呃，糟糕忘记做饭了。,视觉复核：片段跨小七和奶龙发言；音频未听验
accepted/src_29_18.56-21.62.wav,752a7008314b6645b3290c252bfc59fffc61cbb9976935c4a3ab8efcd7b31ea5,,你们给我等着。包 you7!,视觉复核：画面支持目标角色；结尾台词需听音；音频未听验
accepted/src_29_48.76-53.38.wav,32e76846af8e78113a5b503753ded20e721f8b9c868955ef246dda0f01959b41,,增强肌肤抵抗力。修护也要逼分两路。小天的皮肤摇还小姑。,视觉复核：画面支持目标角色；需听音核实广告伴奏与台词；音频未听验
accepted/src_32_0.04-3.44.wav,c408a8b34bf13d30a5b4d9077c80533c4810bbda30c491ca77ee828cfa4dd098,,气，你这饼太小了，我给你选个大饼。,视觉复核：小七也有张口画面，需听音核对发言归属；音频未听验
accepted/src_35_43.28-48.12.wav,67b9f8d537e3e28dfe1280e485cd9a194f00f1f10f3bf5b728a44626c7dabfe4,,妖毛哥哥，我再也不玩火了你。,视觉复核：画面支持目标角色；当前转写首词有误，需听音；音频未听验
accepted/src_36_33.24-37.32.wav,e2e50d6b51606663138f868b6d5360819b78702e828e9548912e1c5c7f73fb17,no,要干嘛？根本不算哦。为着马子发射。,视觉复核：片段跨奶龙与蓝色角色发言；音频未听验
